Project,Module ID,Module Title,Lesson ID,Lesson Title,Card ID,Card Type,Title,app.location,Narration,Transcript,Estimated Seconds,Estimated Word Count,Target Duration Status,Voice Notes,Source Reference,SME Review Flag,Compliance Review Flag,Status
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L02,Identity Confirmation,C03_CHALLENGE,challenge,M00 L02 C03 Challenge,module.m00.lesson.l02.card.c03_challenge,"Scenario challenge for Identity Confirmation: This 12-hour course completes all California CNA renewal requirements by itself.

A) True
B) False
C) Only if clinical support is completed
D) Only if the learner passes on the first attempt

No answer is revealed until submission in lesson practice. Final exams never reveal answer keys.","Scenario challenge for Identity Confirmation: This 12-hour course completes all California CNA renewal requirements by itself.

A) True
B) False
C) Only if clinical support is completed
D) Only if the learner passes on the first attempt

No answer is revealed until submission in lesson practice. Final exams never reveal answer keys.",23,53,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,04_THEORY_MODULE_00_ORIENTATION_FULL.md Section 11,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L02,Identity Confirmation,C04A_DEBRIEF,debrief,M00 L02 C04A Debrief,module.m00.lesson.l02.card.c04a_debrief,"Challenge debrief. Your response has been submitted. When you are unsure, choose the action that protects the resident first, stays inside CNA scope, and keeps required observe-report-document and care-plan steps in the right order. The safest response is to false. This course is partial credit only. Additional renewal requirements remain the learner responsibility. As a CNA, stay within scope: observe, report, document, and follow the care plan. Resident safety and dignity come first, so report any change of condition promptly to the nurse. Before you continue, review the safest response and your own choice so the reason stays with you on the floor.","Challenge debrief. Your response has been submitted. When you are unsure, choose the action that protects the resident first, stays inside CNA scope, and keeps required observe-report-document and care-plan steps in the right order. The safest response is to false. This course is partial credit only. Additional renewal requirements remain the learner responsibility. As a CNA, stay within scope: observe, report, document, and follow the care plan. Resident safety and dignity come first, so report any change of condition promptly to the nurse. Before you continue, review the safest response and your own choice so the reason stays with you on the floor.",46,106,Within target,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,04_THEORY_MODULE_00_ORIENTATION_FULL.md Section 11,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L03,Course Navigation and Progress Tracking,C01_OVERVIEW,overview,M00 L03 C01 Overview,module.m00.lesson.l03.card.c01_overview,"Course Navigation and Progress Tracking. Estimated time: 5 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Orientation and Compliance Boundaries. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.","Course Navigation and Progress Tracking. Estimated time: 5 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Orientation and Compliance Boundaries. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.",21,48,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/04_THEORY_MODULE_00_ORIENTATION_FULL.md#L03,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L03,Course Navigation and Progress Tracking,C02A_DELIVERY,delivery,M00 L03 C02A Delivery,module.m00.lesson.l03.card.c02a_delivery,"Draft / Source Repair Required: canonical source text for Course Navigation and Progress Tracking is missing or incomplete. Missing content: learner-facing screens, source references, knowledge checks, and production-ready transcript text. Safe placeholder only; SME/source repair required before use.","Draft / Source Repair Required: canonical source text for Course Navigation and Progress Tracking is missing or incomplete. Missing content: learner-facing screens, source references, knowledge checks, and production-ready transcript text. Safe placeholder only; SME/source repair required before use.",18,40,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/04_THEORY_MODULE_00_ORIENTATION_FULL.md#L03,SME/source repair required,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L03,Course Navigation and Progress Tracking,C03_CHALLENGE,challenge,M00 L03 C03 Challenge,module.m00.lesson.l03.card.c03_challenge,"Scenario challenge for Course Navigation and Progress Tracking: Which item should a learner never enter in a course activity?

A) CNA certificate number in the identity field
B) A real patient or resident name
C) Legal name in the profile field
D) A quiz answer

No answer is revealed until submission in lesson practice. Final exams never reveal answer keys.","Scenario challenge for Course Navigation and Progress Tracking: Which item should a learner never enter in a course activity?

A) CNA certificate number in the identity field
B) A real patient or resident name
C) Legal name in the profile field
D) A quiz answer

No answer is revealed until submission in lesson practice. Final exams never reveal answer keys.",26,60,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,04_THEORY_MODULE_00_ORIENTATION_FULL.md Section 11,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L03,Course Navigation and Progress Tracking,C04A_DEBRIEF,debrief,M00 L03 C04A Debrief,module.m00.lesson.l03.card.c04a_debrief,"Challenge debrief. Your response has been submitted. When you are unsure, choose the action that protects the resident first, stays inside CNA scope, and keeps required observe-report-document and care-plan steps in the right order. The safest response is to a real patient or resident name. Protected health information, including real patient or resident names, must never be entered. As a CNA, stay within scope: observe, report, document, and follow the care plan. Resident safety and dignity come first, so report any change of condition promptly to the nurse. Before you continue, review the safest response and your own choice so the reason stays with you on the floor.","Challenge debrief. Your response has been submitted. When you are unsure, choose the action that protects the resident first, stays inside CNA scope, and keeps required observe-report-document and care-plan steps in the right order. The safest response is to a real patient or resident name. Protected health information, including real patient or resident names, must never be entered. As a CNA, stay within scope: observe, report, document, and follow the care plan. Resident safety and dignity come first, so report any change of condition promptly to the nurse. Before you continue, review the safest response and your own choice so the reason stays with you on the floor.",48,111,Within target,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,04_THEORY_MODULE_00_ORIENTATION_FULL.md Section 11,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L04,Acknowledgement and Compliance Check,C01_OVERVIEW,overview,M00 L04 C01 Overview,module.m00.lesson.l04.card.c01_overview,"Acknowledgement and Compliance Check. Estimated time: 7 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Orientation and Compliance Boundaries. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.","Acknowledgement and Compliance Check. Estimated time: 7 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Orientation and Compliance Boundaries. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.",20,47,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/04_THEORY_MODULE_00_ORIENTATION_FULL.md#L04,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L04,Acknowledgement and Compliance Check,C02A_DELIVERY,delivery,M00 L04 C02A Delivery,module.m00.lesson.l04.card.c02a_delivery,"Draft / Source Repair Required: canonical source text for Acknowledgement and Compliance Check is missing or incomplete. Missing content: learner-facing screens, source references, knowledge checks, and production-ready transcript text. Safe placeholder only; SME/source repair required before use.","Draft / Source Repair Required: canonical source text for Acknowledgement and Compliance Check is missing or incomplete. Missing content: learner-facing screens, source references, knowledge checks, and production-ready transcript text. Safe placeholder only; SME/source repair required before use.",17,39,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/04_THEORY_MODULE_00_ORIENTATION_FULL.md#L04,SME/source repair required,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L04,Acknowledgement and Compliance Check,C03_CHALLENGE,challenge,M00 L04 C03 Challenge,module.m00.lesson.l04.card.c03_challenge,"Scenario challenge for Acknowledgement and Compliance Check: How many total hours of CE/in-service are required for California CNA renewal over two years?

A) 24
B) 48
C) 12
D) 36

No answer is revealed until submission in lesson practice. Final exams never reveal answer keys.","Scenario challenge for Acknowledgement and Compliance Check: How many total hours of CE/in-service are required for California CNA renewal over two years?

A) 24
B) 48
C) 12
D) 36

No answer is revealed until submission in lesson practice. Final exams never reveal answer keys.",20,47,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,04_THEORY_MODULE_00_ORIENTATION_FULL.md Section 11,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M00,Orientation and Compliance Boundaries,L04,Acknowledgement and Compliance Check,C04A_DEBRIEF,debrief,M00 L04 C04A Debrief,module.m00.lesson.l04.card.c04a_debrief,"Challenge debrief. Your response has been submitted. When you are unsure, choose the action that protects the resident first, stays inside CNA scope, and keeps required observe-report-document and care-plan steps in the right order. The safest response is to 48. California requires 48 hours over the two-year renewal period. As a CNA, stay within scope: observe, report, document, and follow the care plan. Resident safety and dignity come first, so report any change of condition promptly to the nurse. Before you continue, review the safest response and your own choice so the reason stays with you on the floor.","Challenge debrief. Your response has been submitted. When you are unsure, choose the action that protects the resident first, stays inside CNA scope, and keeps required observe-report-document and care-plan steps in the right order. The safest response is to 48. California requires 48 hours over the two-year renewal period. As a CNA, stay within scope: observe, report, document, and follow the care plan. Resident safety and dignity come first, so report any change of condition promptly to the nurse. Before you continue, review the safest response and your own choice so the reason stays with you on the floor.",44,103,Within target,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,04_THEORY_MODULE_00_ORIENTATION_FULL.md Section 11,None identified,Compliance/legal/CDPH review required before production.,draft
CNA Recertification Theory + Clinical Support,M01,Infection Control and PPE,L01,Why Infection Control Matters in Long-Term Care,C01_OVERVIEW,overview,M01 L01 C01 Overview,module.m01.lesson.l01.card.c01_overview,"Why Infection Control Matters in Long-Term Care. Estimated time: 15 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Infection Control and PPE. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.","Why Infection Control Matters in Long-Term Care. Estimated time: 15 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Infection Control and PPE. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.",22,51,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/05_THEORY_MODULE_01_INFECTION_CONTROL_FULL.md#L01,Module 1 infection-control content requires SME/source review.,Compliance review required; no dedicated NATP 10-17 infection-control source in uploaded set.,sme-review
CNA Recertification Theory + Clinical Support,M01,Infection Control and PPE,L01,Why Infection Control Matters in Long-Term Care,C02A_DELIVERY,delivery,M01 L01 C02A Delivery,module.m01.lesson.l01.card.c02a_delivery,"A healthcare-associated infection, or HAI, is an infection a person gets while receiving care in a healthcare facility. HAIs are a serious concern in long-term care because residents often have weakened immune systems due to age or chronic illness, residents live in close proximity to one another, many residents need hands-on assistance with daily care, and shared equipment and common areas create opportunities for germ transmission. As a CNA, you have direct contact with residents throughout your shift. That places you in a unique position to both prevent infections and recognize them early.","A healthcare-associated infection, or HAI, is an infection a person gets while receiving care in a healthcare facility. HAIs are a serious concern in long-term care because residents often have weakened immune systems due to age or chronic illness, residents live in close proximity to one another, many residents need hands-on assistance with daily care, and shared equipment and common areas create opportunities for germ transmission. As a CNA, you have direct contact with residents throughout your shift. That places you in a unique position to both prevent infections and recognize them early.",38,93,On target (45-75s),Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/05_THEORY_MODULE_01_INFECTION_CONTROL_FULL.md Screen 1 - Healthcare-Associated Infections,Module 1 infection-control content requires SME/source review (no dedicated NATP 10-17 source module).,Compliance/legal/CDPH review required before production.,sme-review
CNA Recertification Theory + Clinical Support,M01,Infection Control and PPE,L01,Why Infection Control Matters in Long-Term Care,C02B_DELIVERY,delivery,M01 L01 C02B Delivery,module.m01.lesson.l01.card.c02b_delivery,"Every time you wash your hands before and after resident contact, put on gloves before handling body fluids, change linens using proper technique, or report a resident's new symptoms to the nurse, you are practicing infection control. Infection control is not just a set of rules. It is a core part of safe, compassionate care. When you protect residents from infection, you help them stay healthier, more comfortable, and more independent.","Every time you wash your hands before and after resident contact, put on gloves before handling body fluids, change linens using proper technique, or report a resident's new symptoms to the nurse, you are practicing infection control. Infection control is not just a set of rules. It is a core part of safe, compassionate care. When you protect residents from infection, you help them stay healthier, more comfortable, and more independent.",29,71,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/05_THEORY_MODULE_01_INFECTION_CONTROL_FULL.md Screen 2 - Your Role in Infection Control,Module 1 infection-control content requires SME/source review (no dedicated NATP 10-17 source module).,Compliance/legal/CDPH review required before production.,sme-review
CNA Recertification Theory + Clinical Support,M01,Infection Control and PPE,L01,Why Infection Control Matters in Long-Term Care,C02C_DELIVERY,delivery,M01 L01 C02C Delivery,module.m01.lesson.l01.card.c02c_delivery,"Long-term care residents face unique infection risks. Advanced age weakens the immune response. Chronic conditions such as diabetes, COPD, and heart failure reduce resistance. Indwelling devices like catheters and feeding tubes create entry points for germs. Shared living spaces such as dining rooms, activity areas, and bathrooms are used by many people. Residents with cognitive impairment may not be able to follow hygiene steps, and multiple caregivers mean each contact is a potential transmission point. Knowing these risks helps you stay alert during routine care.","Long-term care residents face unique infection risks. Advanced age weakens the immune response. Chronic conditions such as diabetes, COPD, and heart failure reduce resistance. Indwelling devices like catheters and feeding tubes create entry points for germs. Shared living spaces such as dining rooms, activity areas, and bathrooms are used by many people. Residents with cognitive impairment may not be able to follow hygiene steps, and multiple caregivers mean each contact is a potential transmission point. Knowing these risks helps you stay alert during routine care.",35,85,On target (45-75s),Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/05_THEORY_MODULE_01_INFECTION_CONTROL_FULL.md Screen 3 - Why LTC is Different,Module 1 infection-control content requires SME/source review (no dedicated NATP 10-17 source module).,Compliance/legal/CDPH review required before production.,sme-review
CNA Recertification Theory + Clinical Support,M01,Infection Control and PPE,L01,Why Infection Control Matters in Long-Term Care,C03_CHALLENGE,challenge,M01 L01 C03 Challenge,module.m01.lesson.l01.card.c03_challenge,"Scenario challenge for Why Infection Control Matters in Long-Term Care: The single most effective measure for preventing the spread of infection in a long-term care facility is:

A) Wearing gloves during all resident contact
B) Hand hygiene performed correctly and at the right times
C) Using a surgical mask during all care
D) Isolating all residents with known infections

No answer is revealed until submission in lesson practice. Final exams never reveal answer keys.","Scenario challenge for Why Infection Control Matters in Long-Term Care: The single most effective measure for preventing the spread of infection in a long-term care facility is:

A) Wearing gloves during all resident contact
B) Hand hygiene performed correctly and at the right times
C) Using a surgical mask during all care
D) Isolating all residents with known infections

No answer is revealed until submission in lesson practice. Final exams never reveal answer keys.",33,76,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,General CNA infection control curriculum - NEEDS SME REVIEW (Module 1),SME review required,Compliance review required; no dedicated NATP 10-17 infection-control source in uploaded set.,sme-review
CNA Recertification Theory + Clinical Support,M01,Infection Control and PPE,L01,Why Infection Control Matters in Long-Term Care,C04A_DEBRIEF,debrief,M01 L01 C04A Debrief,module.m01.lesson.l01.card.c04a_debrief,"Challenge debrief. Your response has been submitted. Infection prevention starts with the action that breaks the chain of transmission for every resident, not just the ones who look sick. Hand hygiene, done correctly and at the right moments, is that action. The safest response is to hand hygiene performed correctly and at the right times. Hand hygiene performed correctly and at the right times is the single most effective way to prevent the spread of infection in long-term care. Hands are the main way germs travel between residents, surfaces, and you, so clean hands before and after every contact stop transmission at its most common point. As a CNA, stay within scope: observe, report, document, and follow the care plan. Resident safety and dignity come first, so report any change of condition promptly to the nurse. Before you continue, review the safest response and your own choice so the reason stays with you on the floor.","Challenge debrief. Your response has been submitted. Infection prevention starts with the action that breaks the chain of transmission for every resident, not just the ones who look sick. Hand hygiene, done correctly and at the right moments, is that action. The safest response is to hand hygiene performed correctly and at the right times. Hand hygiene performed correctly and at the right times is the single most effective way to prevent the spread of infection in long-term care. Hands are the main way germs travel between residents, surfaces, and you, so clean hands before and after every contact stop transmission at its most common point. As a CNA, stay within scope: observe, report, document, and follow the care plan. Resident safety and dignity come first, so report any change of condition promptly to the nurse. Before you continue, review the safest response and your own choice so the reason stays with you on the floor.",67,157,Acceptable near upper target,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,General CNA infection control curriculum - NEEDS SME REVIEW (Module 1),SME review required,Compliance review required; no dedicated NATP 10-17 infection-control source in uploaded set.,sme-review
CNA Recertification Theory + Clinical Support,M01,Infection Control and PPE,L02,The Chain of Infection,C01_OVERVIEW,overview,M01 L02 C01 Overview,module.m01.lesson.l02.card.c01_overview,"The Chain of Infection. Estimated time: 15 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Infection Control and PPE. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.","The Chain of Infection. Estimated time: 15 minutes. Learning goal: Apply this required theory topic safely in CNA practice.

This lesson is part of Infection Control and PPE. It supports partial online CE theory only and does not create clinical-hour credit or hands-on competency validation.",20,47,Short - acceptable if intentionally brief,Neutral instructional tone; no PHI; planning transcript only (no audio authorized).,CNA-Recert-Course/Content/theory/modules/05_THEORY_MODULE_01_INFECTION_CONTROL_FULL.md#L02,Module 1 infection-control content requires SME/source review.,Compliance review required; no dedicated NATP 10-17 infection-control source in uploaded set.,sme-review
